Words,Labels
"['hhaahaa', '😂', '😂', 'martin', 'short', 'great', '!']","['O', 'O', 'O', 'B-person', 'I-person', 'O', 'O']"
"['not', 'a', 'Trump', 'supporter', 'by', 'any', 'meabs', 'but', 'she', 'just', 'sounds', 'like', 'a', 'sore', 'looser', '.']","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['like', 'a', 'middle', 'schooler', 'who', 'got', 'chosen', 'last', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'love', 'the', 'cute', 'Lil', 'Darth', 'Vader', 'kitten', '!']","['O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O']"
"['Feeling', 'to', 'much', 'proud', 'ND', 'happy', 'ki', 'Punjabiya', 'toh', 'zada', 'vadiya', 'koi', 'hiaga', 'nahi', ',', 'and', 'really', 'the', 'beauty', 'of', 'North', 'is', 'unbeatable', 'as', 'comparison', 'to', 'another', 'one', ""'"", 's', '.']","['O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['😊', '😊', '""', 'there', 'ai', 'n', ""'"", 't', 'no', 'party', 'like', 'a', 'Daily', 'Bumps', 'party', '""', 'hahaha', 'that', ""'"", 's', 'true', 'Damn', 'adapt', 'be', 'looking', 'like', 'the', 'guy', 'in', 'the', 'skittles', 'commercial', 'chief', 'thats', 'too', 'harsh', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
['!'],['O']
['!'],['O']
['!'],['O']
"['hangwani', 'u', 'see', 'now', '!']","['B-person', 'O', 'O', 'O', 'O']"
['!'],['O']
['!'],['O']
"['next', 'time', 'dont', 'rush', ',', 'KK', 'is', 'going', 'to', 'be', 'happy', 'Pyrion', 'continues', 'his', 'streak', 'as', 'the', 'world', ""'"", 's', 'worst', 'detective', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['If', 'Roman', 'made', 'a', 'new', 'channel', ',', 'I', 'promise', ',', 'it', 'will', 'get', 'a', 'million', 'subs', 'in', 'a', 'day', 'That', 'moment', 'lil', 'wayne', 'get', 'on', 'the', 'hook', 'and', 'i', 'gotta', 'hit', 'mute', '!']","['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
"['😩', '😫', 'Trump', ""'"", 's', 'a', 'stud', 'No', 'intent', 'to', 'hurt', 'Cindy', '.']","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
"['Hope', 'she', 'is', 'okay', '.']","['O', 'O', 'O', 'O', 'O']"
"['That', ""'"", 's', 'no', 'way', 'to', 'treat', 'a', 'lady', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Well', 'thank', 'you', 'LoL', 'for', 'making', 'Jinx', 'she', 'made', 'me', 'try', 'this', 'game', 'out', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['THANK', 'YOU', 'JINX', 'That', 'rick', 'roll', 'was', 'so', 'good', 'XD', 'I', 'love', 'the', 'Canadian', 'Pokemon', 'characters', '😂', '😂', '😂', 'Nightwing', 'and', 'black', 'adam', 'Why', 'isnt', 'anybody', 'fckin', 'talking', 'that', 'roger', 'the', 'roo', 'is', 'real', '!']","['O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'B-creative-work', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O']"
['!'],['O']
"['Like', 'come', 'on', 'people', 'he', 'is', 'like', 'the', 'biggest', 'evidance', 'that', 'animals', 'are', 'equally', 'adptaple', 'as', 'humans', 'Good', 'job', 'Officer', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
"['Now', 'let', ""'"", 's', 'wait', 'for', 'the', 'internet', 'trolls', 'to', 'say', 'it', ""'"", 's', 'fake', 'or', 'some', 'dumb', 'shit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'might', 'kill', 'myself', '.']","['O', 'O', 'O', 'O', 'O']"
['.'],['O']
"['Just', 'so', 'they', 'can', 'play', 'this', 'at', 'my', 'funeral', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['gotta', 'love', 'that', 'Canon', 'g', '7', 'x', 'focus', 'seeking', '.']","['O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'I-product', 'O', 'O', 'O']"
"['Shaq', 'had', 'me', 'weak', '😂', '.']","['B-person', 'O', 'O', 'O', 'O', 'O']"
"['(', 'Cough', 'cough', 'so', 'umm', 'you', 'not', 'gon', 'add', 'my', 'name', 'on', 'that', 'list', 'lol', ')', 'Jedidiah', 'is', 'beyond', 'irritating', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
"['seriously', ',', 'she', 'literally', 'paraphrases', 'the', 'others', 'or', 'says', 'nothing', 'when', 'it', 'comes', 'to', 'anything', 'trump', 'related', 'Motherfucke', 'r', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
"['A', 'lot', 'of', 'people', 'dont', 'have', 'any', 'phone', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['But', 'breaking', 'the', 'phones', 'Marty', 'Short', 'is', 'the', 'best', 'I', ""'"", 'm', 'here', 'because', 'of', 'Tay', '.']","['O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
['.'],['O']
['.'],['O']
"['am', 'I', 'alone', '?']","['O', 'O', 'O', 'O']"
"['Love', 'This', 'song', '❤', '✨', 'The', 'Chinese', 'said', '""', 'it', 'can', 'come', 'in', ',', 'but', 'ca', 'n', ""'"", 't', 'get', 'out', '""', 'Nothing', 'beats', 'a', 'thick', 'French', 'copper', 'pan', 'with', 'stainless', 'lining', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['if', 'All', 'Clad', 'and', 'Demeyere', 'are', 'the', 'Ferrari', ""'"", 's', 'of', 'pots', 'then', 'a', 'Matfer', 'Bourgeat', 'is', 'a', 'Bugatti', 'Did', 'this', 'come', 'out', 'after', 'twin', 'peaks', 'or', 'was', 'it', 'supposed', 'to', 'be', 'watched', 'before', 'it', 'all', 'kicked', 'off', '?']","['O', 'B-product', 'I-product', 'O', 'B-product', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Welcome', 'to', 'Oregon', 'from', 'Troutdale', '(', 'east', 'portland', ')', ',', 'enjoy', 'our', '(', 'few', ')', 'nice', 'days', 'right', 'now', '.']","['O', 'O', 'B-location', 'O', 'B-location', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Nifty', 'Gadgets', '!']","['O', 'O', 'O']"
"['Love', 'the', 'light', 'best', '.']","['O', 'O', 'O', 'O', 'O']"
"['Yet', 'I', 'would', 'camp', 'with', 'all', 'of', 'the', 'items', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ax', 'was', 'cool', 'too', '!']","['O', 'O', 'O', 'O', 'O']"
"['Question', '.']","['O', 'O']"
"['How', 'do', 'you', 'have', '267', 'K', 'subs', 'and', 'ZERO', 'VIEWS', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['#', 'bots', '#', 'payforsubs', 'can', 'i', 'have', 'fidget', 'spinner', 'my', 'name', 'is', 'called', 'Ahmed', 'and', 'i', 'am', 'go', 'to', 'orchard', 'academy', 'in', 'milton', 'keyons', 'when', 'people', 'want', 'a', 'Pure', 'breed', 'they', 'should', 'buy', 'a', 'dog', 'with', 'pedigree', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'O', 'B-location', 'I-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['if', 'they', 'dont', 'care', 'then', 'just', 'support', 'a', 'shelter', ',', 'therr', 'is', 'tons', 'of', 'young', 'dogs', 'and', 'even', 'puppies', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Kimmel', '2015', '?']","['B-person', 'O', 'O']"
"['The', 'best', 'part', 'about', 'your', 'videos', 'is', 'the', 'way', 'you', 'present', 'stuff', ',', 'the', 'video', 'is', 'always', 'well', 'written', ',', 'the', 'humour', 'makes', 'it', 'even', 'better', 'plus', 'the', 'innovation', 'you', 'put', 'into', 'stuff', 'if', 'brilliant', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Great', 'idea', 'with', 'the', 'clear', 'S', '8', '.']","['O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O']"
"['ZWEIBRUCKEN', '!']","['B-location', 'O']"
"['I', 'lived', 'there', 'as', 'a', 'kid', 'right', 'before', 'they', 'closed', 'the', 'base', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['She', 'probably', 'wo', 'n', ""'"", 't', 'be', 'playing', 'with', 'emergency', 'doors', 'ever', 'again', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Glad', 'she', ""'"", 's', 'safe', 'though', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Done', 'notifications', 'on', 'That', ""'"", 's', 'probably', 'Wendy', ""'"", 's', 'biggest', 'dream', 'coming', 'true', ':', 'he', 'confirmed', 'the', 'Fantasy', 'at', 'the', 'hospital', 'story', 'AND', 'answered', 'it', 'all', 'about', 'Mariah', 'hahahahahaha', 'Don', 'muthafuckin', 'Cheadle', 'ladies', 'and', 'gentlemen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O']"
"['I', 'looked', 'forever', 'to', 'find', 'the', 'Toyota', 'from', 'your', 'thumbnail', 'in', 'the', 'vlog', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['when', 'do', 'I', 'see', 'it', '?']","['O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
['!'],['O']
"['My', 'cousin', 'is', 'Tyler', 'Boyd', '.']","['O', 'O', 'O', 'B-person', 'I-person', 'O']"
"['I', ""'"", 'm', 'surprised', 'to', 'see', 'the', 'bengals', 'pickup', 'a', 'wide', 'out', 'first', 'round', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'I-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Kids', 'are', 'so', 'brutally', 'honest', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Poor', 'Jimmy', 'xD', 'Ledger', '>', '>', '>', '>', '>', 'Every', 'Joker', 'ever', 'I', 'LOVE', 'THIS', 'AJBDUENNDJD', 'my', 'cat', 'would', 'not', 'allow', 'me', 'to', 'put', 'him', 'ina', 'pouch', '.']","['O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hed', 'claw', 'the', 'hell', 'outta', 'me', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['is', 'that', 'Mauro', 'renallo', '?']","['O', 'O', 'B-person', 'I-person', 'O']"
"['my', 'favorite', 'puppy', 'is', 'brown', 'and', 'white', 'too', 'peyton', 'and', 'i', 'have', 'went', 'camping', 'before', 'and', 'GREAT', 'VIDOI', 'Casey', 'has', 'officially', 'reached', 'spider-man', 'status', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'B-person', 'O', 'O']"
"['dude', 'that', 'was', 'savage', 'Every', 'fucktard', 'is', 'a', 'backyard', 'mechanic', 'dispensing', 'BAD', 'advice', 'I', 'just', 'love', 'how', 'he', 'started', 'his', 'audition', 'with', 'Clair', 'de', 'Lune', 'which', 'is', 'my', 'favorite', 'piece', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O']"
"['So', 'no', 'ones', 'gonna', 'talk', 'about', 'Kane', 'dry', 'humping', 'in', 'the', 'garage', 'before', 'the', 'party', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Aw', ',', 'this', 'is', 'adorable', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'especially', 'love', 'the', 'faces', 'Shasta', 'makes', 'every', 'time', 'he', ""'"", 's', 'told', 'to', 'turn', 'it', 'back', 'on', '.']","['O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'guy', ""'"", 's', 'smooth', 'AF', '😂', '👍', 'Might', 'as', 'well', 'be', 'deaf', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Lab', 'results', 'are', 'falsified', 'to', 'keep', 'doctors', 'out', 'of', 'court', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['So', 'much', 'for', 'HIPAA', 'Law', '.']","['O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O']"
"['im', 'a', 'minecraft', 'gamer', 'and', 'grian', 'fan', 'so', 'i', 'can', 'say', 'that', 'your', 'house', 'is', 'horroble', 'I', 'really', 'do', 'think', 'Stan', 'Lee', 'is', 'The', 'Watcher', 'and', 'when', 'he', 'passes', 'they', 'will', 'make', 'a', 'subplot', 'about', 'it', '<', '3', 'WAS', 'THAT', 'ELEKTRA', '!']","['O', 'O', 'B-product', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
['!'],['O']
['!'],['O']
['!'],['O']
['!'],['O']
"['if', 'i', 'like', 'a', 'style', 'is', 'Evi', 'Stop', 'singing', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O']"
['!'],['O']
['!'],['O']
['!'],['O']
"['without', 'sunil', 'grover', 'show', 'is', 'very', 'borring', 'missing', 'to', 'sunil', 'gover', 'ali', 'askar', ',', 'chandu', 'How', 'can', 'a', 'beam', 'of', 'light', 'moving', 'faster', 'than', 'light', 'NOT', 'transfer', 'any', 'information', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', '15', 'years', 'this', 'audience', 'will', 'be', 'cheering', 'a', 'trump', 'impersonator', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O']"
"['People', 'are', 'dumb', '.']","['O', 'O', 'O', 'O']"
"['did', 'you', 'not', 'try', 'zero', 'latency', 'vr', '.']","['O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O']"
"['i', 'have', 'been', 'to', 'the', 'one', 'in', 'australia', 'and', 'its', 'awsome', 'Is', 'tamina', 'heel', 'or', 'face', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
['?'],['O']
['?'],['O']
"['Willies', 'music', ',', 'the', 'style', 'it', ""'"", 's', 'amazing', 'how', 'he', ""'"", 's', 'himself', ',', 'creative', ',', 'his', 'own', 'style', ',', 'his', 'voice', ',', 'what', 'i', 'really', 'like', 'about', 'Willie', 'Nelson', 'is', 'he', ""'"", 's', 'himself', ',', 'i', 'love', 'reabeating', 'it', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Jar', 'jar', 'binx', 'is', 'a', 'dic', '#', 'With', 'the', 'first', 'lambo', 'the', 'house', 'dont', 'looks', 'so', 'nice', '?']","['B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['?'],['O']
['?'],['O']
['?'],['O']
['?'],['O']
['?'],['O']
"['Photoshop', '?']","['B-product', 'O']"
['?'],['O']
['?'],['O']
"['put', 'a', 'Lamborghini', 'poster', 'on', 'one', 'of', 'his', 'walls', 'Scotty', 'looks', 'so', 'sad', 'here', '.']","['O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']"
"['So', 'on', 'brand', 'lol', 'i', 'love', 'him', 'That', 'was', 'freakin', 'AWESOME', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['salute', 'to', 'sitaram', 'katel', 'and', 'kunjana', 'Please', 'tell', 'me', 'that', 'Rift', 'herald', 'still', 'will', 'have', 'that', 'easter', 'egg', 'of', 'if', 'you', 'dance', 'she', 'dances', '.']","['O', 'O', 'B-person', 'I-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
